9,20181105,CPO,TBT,4BS,,,,,,,,,,,,,,,,,,,,,,
9,20181105,RMS,LLK,LLQ,,,,,,,,,,,,,,,,,,,,,,
9,20181105,PKT,HHS,HND,,,,,,,,,,,,,,,,,,,,,,
9,20181105,DIH,CRA,ANC,,,,,,,,,,,,,,,,,,,,,,
9,20181105,ETB,CDC,CDX,,,,,,,,,,,,,,,,,,,,,,
9,20181105,LNL,FRZ,NAR,,,,,,,,,,,,,,,,,,,,,,
9,20181105,SCN,PGN,8BT,,,,,,,,,,,,,,,,,,,,,,
10,20181112,SSS,CHS,CDX,,,,,,,,,,,,,,,,,,,,,,
10,20181112,PBR,DSV,AAB,,,,,,,,,,,,,,,,,,,,,,
10,20181112,JMF,DTP,JUP,,,,,,,,,,,,,,,,,,,,,,
10,20181112,KNR,SWL,8BT,,,,,,,,,,,,,,,,,,,,,,
10,20181112,SJK,NLT,OLF,,,,,,,,,,,,,,,,,,,,,,
10,20181112,IBL,TWC,FFD,,,,,,,,,,,,,,,,,,,,,,
10,20181112,CDC,DIH,SHR,,,,,,,,,,,,,,,,,,,,,,
10,20181112,LLK,LNL,VID,,,,,,,,,,,,,,,,,,,,,,
10,20181112,HHS,ETB,GET,,,,,,,,,,,,,,,,,,,,,,
10,20181112,PGN,CPO,ANC,,,,,,,,,,,,,,,,,,,,,,
10,20181112,TBT,PKT,COP,,,,,,,,,,,,,,,,,,,,,,
10,20181112,CRA,RMS,RAY,,,,,,,,,,,,,,,,,,,,,,
10,20181112,FRZ,SCN,NAR,,,,,,,,,,,,,,,,,,,,,,
11,20181119,SWL,SJK,FTB,,,,,,,,,,,,,,,,,,,,,,
11,20181119,TWC,DSV,AAB,,,,,,,,,,,,,,,,,,,,,,
11,20181119,NLT,JMF,JUP,,,,,,,,,,,,,,,,,,,,,,
11,20181119,CHS,IBL,IBX,,,,,,,,,,,,,,,,,,,,,,
11,20181119,DTP,SSS,SHR,,,,,,,,,,,,,,,,,,,,,,
11,20181119,PBR,KNR,FFD,,,,,,,,,,,,,,,,,,,,,,
11,20181119,PKT,PGN,8BT,,,,,,,,,,,,,,,,,,,,,,
11,20181119,LLK,CRA,ANC,,,,,,,,,,,,,,,,,,,,,,
11,20181119,ETB,TBT,4BS,,,,,,,,,,,,,,,,,,,,,,
11,20181119,RMS,CDC,CDX,,,,,,,,,,,,,,,,,,,,,,
11,20181119,DIH,HHS,HND,,,,,,,,,,,,,,,,,,,,,,
11,20181119,CPO,FRZ,NAR,,,,,,,,,,,,,,,,,,,,,,
11,20181119,SCN,LNL,VID,,,,,,,,,,,,,,,,,,,,,,
91,20181126,DSV,TWC,FFD
91,20181126,KNR,SSS,SHR
91,20181126,PGN,CRA,ANC
91,20181126,HHS,CDC,CDX
92,20181203,QF4,SJK,FTB
92,20181203,QF3,NLT,OLF
92,20181203,QF4,ETB,GET
92,20181203,QF3,SCN,NAR
